time,xref,x,yref,y,zref,z,ex,ey,ez,e_norm,roll,pitch,yaw,u1,u2,u3,u4,w1,w2,w3,w4
0.1,0.0,-1.457486349320063e-15,0.0,-1.7480025977992693e-15,0.2,2.066024991641098e-5,1.457486349320063e-15,1.7480025977992693e-15,0.1999793397500836,0.1999793397500836,8.156854423453426e-14,-1.0809119155980134e-13,2.5790828713121194e-11,9.658594535100816,-9.658594534925564,9.658594535098434,-9.658594534909003,9.658623971807165,-9.658623971634189,9.658623971804621,-9.658623971616219
0.11,0.0,-2.9988671513764486e-15,0.0,-3.1053312249586646e-15,0.22000000000000003,2.2878979858292853e-5,2.9988671513764486e-15,3.1053312249586646e-15,0.21997712102014175,0.21997712102014175,5.910218220031341e-14,-6.635592495301615e-14,3.283100853880329e-11,9.831401507027067,-9.831401506799827,9.831401507023608,-9.831401506786618,9.831211302799066,-9.83121130257264,9.83121130279514,-9.831211302557252
0.12,0.0,-3.970759963844222e-15,0.0,-4.076387404472408e-15,0.24,2.5114542500195195e-5,3.970759963844222e-15,4.076387404472408e-15,0.2399748854574998,0.2399748854574998,5.19157609643271e-14,-5.09195057240226e-14,3.953412571731151e-11,10.005258397939317,-10.00525839766187,10.005258397936581,-10.005258397655016,10.004989991480914,-10.004989991205429,10.004989991477652,-10.004989991197633
0.13,0.0,-4.4902730013278585e-15,0.0,-4.9495662195992014e-15,0.26,2.736749983803813e-5,4.4902730013278585e-15,4.9495662195992014e-15,0.25997263250016195,0.25997263250016195,5.815148554267222e-14,-5.343116641085215e-14,4.661873052287226e-11,10.180259370015612,-10.1802593696851,10.180259370013642,-10.180259369684967,10.179966461690453,-10.179966461359891,10.179966461688629,-10.179966461359854
0.14,0.0,-4.943908513948086e-15,0.0,-5.91645383138575e-15,0.28,2.963857936481603e-5,4.943908513948086e-15,5.91645383138575e-15,0.2799703614206352,0.2799703614206352,6.660821771604657e-14,-5.798814548645407e-14,5.377065414284602e-11,10.35644336741049,-10.356443367027746,10.356443367408938,-10.356443367031366,10.356141565707581,-10.356141565324316,10.35614156570602,-10.356141565328834
0.15,0.0,-5.568605110504145e-15,0.0,-7.111638969910946e-15,0.3,3.1928249657940287e-5,5.568605110504145e-15,7.111638969910946e-15,0.29996807175034207,0.29996807175034207,6.257465623123257e-14,-5.713818123064962e-14,6.127142574061234e-11,10.53381766245361,-10.533817662018523,10.533817662453076,-10.533817662021786,10.533515409873036,-10.533515409437845,10.533515409872383,-10.533515409441895
0.16,0.0,-6.3534372356590206e-15,0.0,-8.450643052832156e-15,0.32,3.42373936714706e-5,6.3534372356590206e-15,8.450643052832156e-15,0.31996576260632853,0.31996576260632853,4.9407940434247386e-14,-5.1844287462764854e-14,6.893448672526364e-11,10.712389014378587,-10.712389013890904,10.712389014379271,-10.71238901389222,10.712088289935968,-10.712088289448436,10.712088289936798,-10.71208828944975
0.17,0.0,-7.076649985499079e-15,0.0,-9.748625802194591e-15,0.34,3.656648380323669e-5,7.076649985499079e-15,9.748625802194591e-15,0.3399634335161968,0.3399634335161968,4.518363417610191e-14,-4.8929574277478605e-14,7.631062132153209e-11,10.892161457110108,-10.892161456570296,10.892161457110664,-10.892161456571442,10.891860412830418,-10.891860412290692,10.891860412831262,-10.891860412291544
0.18,0.0,-7.766423688064528e-15,0.0,-1.0992337055209539e-14,0.36,3.8916104952750204e-5,7.766423688064528e-15,1.0992337055209539e-14,0.3599610838950472,0.3599610838950472,4.518313553405015e-14,-4.4562836301462856e-14,8.382711728600241e-11,11.073132768348387,-11.073132767755034,11.073132768348202,-11.07313276775624,11.072831770868866,-11.072831770275442,11.07283177086896,-11.072831770276297
0.19,0.0,-8.327777211826704e-15,0.0,-1.2106949534529015e-14,0.38,4.128682279175188e-5,8.327777211826704e-15,1.2106949534529015e-14,0.37995871317720825,0.37995871317720825,5.2663726998348855e-14,-3.79431202572052e-14,9.163067405971276e-11,11.255302671454853,-11.255302670805468,11.255302671453224,-11.255302670806952,11.255002399881654,-11.25500239923206,11.255002399880091,-11.25500239923337
0.2,0.0,-8.248236799868686e-15,0.0,-1.2806771914728284e-14,0.4,4.368014690899585e-5,8.248236799868686e-15,1.2806771914728284e-14,0.39995631985309105,0.39995631985309105,8.721773933950918e-14,-2.9351368638478264e-14,9.978736743802004e-11,11.438672466782501,-11.438672466072612,11.438672466777312,-11.43867246607621,11.438372371426299,-11.43837237071619,11.43837237142093,-11.438372370719774
0.21,0.0,-7.696581122516712e-15,0.0,-1.3185967758424151e-14,0.42000000000000004,4.609557917221119e-5,7.696581122516712e-15,1.3185967758424151e-14,0.4199539044208278,0.4199539044208278,1.4239387192799916e-13,-1.869792787383888e-14,1.0827498320918581e-10,11.623241727814696,-11.623241727040483,11.623241727804299,-11.623241727047501,11.622941661859977,-11.622941661085628,11.622941661849064,-11.62294166109286
0.22,0.0,-6.9999954618915435e-15,0.0,-1.4103610675108358e-14,0.44000000000000006,4.853427232657402e-5,6.9999954618915435e-15,1.4103610675108358e-14,0.43995146572767346,0.43995146572767346,1.7974284705945552e-13,-1.148133033052876e-14,1.1679796076805745e-10,11.809010343635364,-11.80901034279889,11.809010343622628,-11.80901034280758,11.808710289278327,-11.80871028844169,11.808710289264841,-11.808710288450774
0.23,0.0,-6.2727142365905575e-15,0.0,-1.585964011705864e-14,0.4600000000000001,5.099662884487931e-5,6.2727142365905575e-15,1.585964011705864e-14,0.4599490033711552,0.4599490033711552,1.8584037237097965e-13,-9.62134955143047e-15,1.2525310722750046e-10,11.995978275518988,-11.995978274624362,11.99597827550836,-11.995978274631907,11.995678259999316,-11.995678259104315,11.995678259987871,-11.995678259112355
0.24,0.0,-5.498524849654769e-15,0.0,-1.8419434369839926e-14,0.48,5.348320398955935e-5,5.498524849654769e-15,1.8419434369839926e-14,0.4799465167960104,0.4799465167960104,1.6263216467712685e-13,-1.2725604948190388e-14,1.3365331370142863e-10,12.184145521650297,-12.18414552070111,12.18414552164567,-12.184145520705,12.183845581235673,-12.18384558028579,12.183845581230345,-12.183845580290166
0.25,0.0,-4.321431575704096e-15,0.0,-2.08778429784843e-14,0.5,5.599502210641967e-5,4.321431575704096e-15,2.08778429784843e-14,0.4999440049778936,0.4999440049778936,1.5210382228646751e-13,-1.4365186408497337e-14,1.4231363852654305e-10,12.37351217550777,-12.373512174500359,12.373512175506875,-12.373512174501972,12.373212263472363,-12.373212262464266,12.373212263470965,-12.373212262466271
0.26,0.0,-2.626481867060179e-15,0.0,-2.2948207010531057e-14,0.52,5.853284688485252e-5,2.626481867060179e-15,2.2948207010531057e-14,0.5199414671531152,0.5199414671531152,1.678412984613745e-13,-1.2379394748751858e-14,1.5133457510197717e-10,12.564078262107207,-12.564078261035403,12.564078262105552,-12.564078261037485,12.563778315827955,-12.563778314756002,12.563778315826061,-12.563778314758284
0.27,0.0,-4.745736667199405e-16,0.0,-2.5016628233519162e-14,0.54,6.109738988278131e-5,4.745736667199405e-16,2.5016628233519162e-14,0.5399389026101172,0.5399389026101172,1.9374513965877596e-13,-9.248335583521357e-15,1.6071906022057057e-10,12.755843720886588,-12.755843719746293,12.755843720882266,-12.755843719749993,12.755543714899652,-12.755543713759922,12.755543714895358,-12.755543713763615
0.28,0.0,1.9036557643919115e-15,0.0,-2.7962197081352127e-14,0.56,6.36892149031747e-5,-1.9036557643919115e-15,2.7962197081352127e-14,0.5599363107850969,0.5599363107850969,1.9139183643352698e-13,-1.085373269872258e-14,1.7033423190756092e-10,12.94880843383303,-12.94880843262585,12.948808433829996,-12.94880843262865,12.948508428146956,-12.948508426940633,12.94850842814418,-12.948508426943281
0.29,0.0,4.683113206988317e-15,0.0,-3.136062548685747e-14,0.58,6.630916056536484e-5,-4.683113206988317e-15,3.136062548685747e-14,0.5799336908394346,0.5799336908394346,1.8077517649684085e-13,-1.4084967748678019e-14,1.8033826634023543e-10,13.142972440384282,-13.142972439108215,13.142972440383428,-13.142972439109512,13.142672462722144,-13.142672461447024,13.142672462721697,-13.142672461448099
0.3,0.0,7.878883004858338e-15,0.0,-3.527341559024161e-14,0.6,6.895796788924409e-5,-7.878883004858338e-15,3.527341559024161e-14,0.5999310420321108,0.5999310420321108,1.600004669978548e-13,-1.9177388983801208e-14,1.9077599509174214e-10,13.338335721124684,-13.33833571977764,13.338335721127184,-13.338335719776655,13.338035810030627,-13.338035808684333,13.338035810033558,-13.338035808683163
0.31,0.0,1.0891114795844365e-14,0.0,-3.9275016881065895e-14,0.62,7.163642285862987e-5,-1.0891114795844365e-14,3.9275016881065895e-14,0.6199283635771413,0.6199283635771413,1.387008071145839e-13,-2.260924740622537e-14,2.0121900474475292e-10,13.534898322714842,-13.534898321295517,13.534898322719089,-13.534898321293177,13.534598462352566,-13.534598460933788,13.534598462357229,-13.534598460931273
0.32,0.0,1.3706816568150853e-14,0.0,-4.340469391353663e-14,0.64,7.434526854635304e-5,-1.3706816568150853e-14,4.340469391353663e-14,0.6399256547314537,0.6399256547314537,1.1550783367791302e-13,-2.4444351755983856e-14,2.1169051970908157e-10,13.732660228755952,-13.732660227262985,13.732660228760476,-13.732660227260139,13.732360411133316,-13.732360409640615,13.732360411138165,-13.732360409637604
0.33,0.0,1.6064628239132877e-14,0.0,-4.7504993889476217e-14,0.66,7.708526618587714e-5,-1.6064628239132877e-14,4.7504993889476217e-14,0.6599229147338141,0.6599229147338141,9.370918266736377e-14,-2.3229043981022806e-14,2.2202262386500755e-10,13.931621449537024,-13.931621447969363,13.931621449539263,-13.931621447967526,13.93132164817153,-13.931321646603848,13.93132164817394,-13.931321646601821
0.34,0.0,1.7929478091982556e-14,0.0,-5.134406762821532e-14,0.68,8.003929151015424e-5,-1.7929478091982556e-14,5.134406762821532e-14,0.6799199607084899,0.6799199607084899,8.184285184676166e-14,-1.819505782852751e-14,2.3211822882558233e-10,14.131724489758058,-14.131724488114996,14.131724489755166,-14.131724488116076,14.131454138986152,-14.1314541373427,14.131454138983138,-14.13145413734361
0.35000000000000003,0.0,5.975898290295676e-15,0.0,-7.536541265606095e-14,0.7000000000000001,8.815662130249283e-5,-5.975898290295676e-15,7.536541265606095e-14,0.6999118433786976,0.6999118433786976,-7.549869133562492e-13,3.068418478609682e-13,2.201465338148495e-10,14.331494304419557,-14.331494302950059,14.331494304475441,-14.331494302832066,14.331859539780185,-14.331859538307988,14.331859539835428,-14.331859538185805
0.36,0.0,2.4728426481066503e-15,0.0,-8.450941169655889e-14,0.72,0.00012238596167894994,-2.4728426481066503e-15,8.450941169655889e-14,0.7198776140383211,0.7198776140383211,-1.0653189530932136e-12,3.7873258829359884e-13,2.1819405325695335e-10,14.526078233912493,-14.526078232455871,14.52607823397292,-14.526078232344275,14.527557945885317,-14.527557944439309,14.527557945956525,-14.527557944310447
0.37,0.0,1.9367192330197838e-15,0.0,-8.326101407659988e-14,0.74,0.00021051318796849438,-1.9367192330197838e-15,8.326101407659988e-14,0.7397894868120315,0.7397894868120315,-9.73353260745285e-13,3.3829924715357014e-13,2.1547201819551882e-10,14.712171493907018,-14.712171492421943,14.712171493935154,-14.712171492373454,14.714284713820039,-14.714284712342415,14.714284713852813,-14.714284712284604
0.38,0.0,2.8142798459678373e-15,0.0,-7.636755319691763e-14,0.76,0.0003789303783599113,-2.8142798459678373e-15,7.636755319691763e-14,0.7596210696216401,0.7596210696216401,-6.785173752201377e-13,2.502718113889504e-13,2.121178561786695e-10,14.88866610594977,-14.888666104440993,14.888666105943718,-14.888666104453149,14.891037313112282,-14.89103731160229,14.891037313105135,-14.89103731161761
0.39,0.0,4.237653532325293e-15,0.0,-6.945164255019612e-14,0.78,0.0006545458752426777,-4.237653532325293e-15,6.945164255019612e-14,0.7793454541247573,0.7793454541247573,-4.3857573106592414e-13,1.6119155856984856e-13,2.1039935948750108e-10,15.055299171383403,-15.05529916986935,15.055299171366569,-15.055299169905576,15.057745627770316,-15.057745626250663,15.057745627748535,-15.057745626295288
0.4,0.0,4.81612369195861e-15,0.0,-6.529421201348438e-14,0.8,0.0010613083567981296,-4.81612369195861e-15,6.529421201348438e-14,0.798938691643202,0.798938691643202,-3.484535989730125e-13,1.34761958789672e-13,2.0232732253671498e-10,15.212160940342581,-15.212160938894124,15.21216094033015,-15.2121609389177,15.214594721639674,-15.214594720177596,15.214594721624096,-15.214594720208687
0.41000000000000003,0.0,4.8359480430277495e-15,0.0,-6.304245482014918e-14,0.8200000000000001,0.0016218327177533606,-4.8359480430277495e-15,6.304245482014918e-14,0.8183781672822467,0.8183781672822467,-3.602576525368317e-13,1.4541086380682799e-13,1.9191105228280592e-10,15.359457557430776,-15.359457556072334,15.35945755742818,-15.359457556073,15.361839545262864,-15.361839543896828,15.361839545259157,-15.361839543899606
0.42,0.0,5.0321801500442366e-15,0.0,-6.075041338825752e-14,0.8400000000000001,0.0023591015213334766,-5.0321801500442366e-15,6.075041338825752e-14,0.8376408984786666,0.8376408984786666,-3.871091510886274e-13,1.5294565215400177e-13,1.8258622814008204e-10,15.497468706490181,-15.497468705207444,15.497468706494868,-15.497468705195834,15.49978303814149,-15.499783036867525,15.499783038147095,-15.499783036852035
0.43,0.0,5.735024059446807e-15,0.0,-5.727612851766339e-14,0.86,0.0032959273125678155,-5.735024059446807e-15,5.727612851766339e-14,0.8567040726874322,0.8567040726874322,-3.834917246068569e-13,1.4572029356948295e-13,1.7349417697422473e-10,15.62651441858584,-15.626514417368595,15.626514418592247,-15.626514417356283,15.628756035857633,-15.628756034644244,15.62875603586551,-15.628756034628514
0.44,0.0,6.993355318280818e-15,0.0,-5.2494022850288236e-14,0.8800000000000001,0.004446363766983211,-6.993355318280818e-15,5.2494022850288236e-14,0.8755536362330169,0.8755536362330169,-3.637007160655087e-13,1.2525227508837208e-13,1.630109220041939e-10,15.74682027991802,-15.746820278771903,15.746820279923764,-15.746820278764908,15.748984911287991,-15.748984910143342,15.748984911295238,-15.748984910134224
